,match_place,la,lo
spanjaerden,Spanje,39.3260685,-4.8379791
spanjaerde,Spanje,39.3260685,-4.8379791
spanjaarden,Spanje,39.3260685,-4.8379791
spanjaarde,Spanje,39.3260685,-4.8379791
spanjaer,Spanje,39.3260685,-4.8379791
spanjaard,Spanje,39.3260685,-4.8379791
spanjaert,Spanje,39.3260685,-4.8379791
spanjaers,Spanje,39.3260685,-4.8379791
spanjaerts,Spanje,39.3260685,-4.8379791
span jaers,Spanje,39.3260685,-4.8379791
spaenjaers,Spanje,39.3260685,-4.8379791
spanjers,Spanje,39.3260685,-4.8379791
spainjaerts,Spanje,39.3260685,-4.8379791
spaignaerts,Spanje,39.3260685,-4.8379791
spaigniaerts,Spanje,39.3260685,-4.8379791
spaignaert,Spanje,39.3260685,-4.8379791
spaignaers,Spanje,39.3260685,-4.8379791
spaingnaers,Spanje,39.3260685,-4.8379791
spaigniaert,Spanje,39.3260685,-4.8379791
spaigniaers,Spanje,39.3260685,-4.8379791
spaignaerdt,Spanje,39.3260685,-4.8379791
spagniaerts,Spanje,39.3260685,-4.8379791
spaegnaerts,Spanje,39.3260685,-4.8379791
spangniaerts,Spanje,39.3260685,-4.8379791
spaingniaert,Spanje,39.3260685,-4.8379791
spaingniaers,Spanje,39.3260685,-4.8379791
spaigniearts,Spanje,39.3260685,-4.8379791
spaegniaerts,Spanje,39.3260685,-4.8379791
spaengniaerts,Spanje,39.3260685,-4.8379791
spangiaerts,Spanje,39.3260685,-4.8379791
spaengnaerts,Spanje,39.3260685,-4.8379791
spaengiaerts,Spanje,39.3260685,-4.8379791
spaeniaerts,Spanje,39.3260685,-4.8379791
spaengiarts,Spanje,39.3260685,-4.8379791
spaengiaert,Spanje,39.3260685,-4.8379791
spaengaerts,Spanje,39.3260685,-4.8379791
spangiart,Spanje,39.3260685,-4.8379791
spaeniaert,Spanje,39.3260685,-4.8379791
spaegniaert,Spanje,39.3260685,-4.8379791
spaengiart,Spanje,39.3260685,-4.8379791
spaengnaert,Spanje,39.3260685,-4.8379791
spaeyngaerts,Spanje,39.3260685,-4.8379791
spaengaers,Spanje,39.3260685,-4.8379791
spainiearts,Spanje,39.3260685,-4.8379791
